anger,sadness,disgust,happy,surprise,fear,Negative words,Pos
abhor,abandon,abhorr,accomplish,admir,affright,cannot,VB
abhorr,abject,abhorrent,action,admiration,afraid,could not,VBD
abhorrence,abrupt,abomin,activated,amaz,alarm,did not,VBG
ablaze,adjourn,abominably,admir,amaze,alarmed,does not,VBN
abomin,admonish,churn up,admirable,amazed,alert,had no,VBP
abominate,aggriev,detest,admirably,amazement,anxious,have no,VBZ
abomination,aggrieve,detestable,admiration,amazing,anxiously,may not,JJ
abound,anchor,detestably,admire,amazingly,appal,never,JJR
acerb,anguish,disgust,ador,astoni,appall,no,JJS
acerbic,anguished,disgusted,adorably,astonied,apprehens,not,NN
acid,annoy,disgustedly,adoration,astonish,apprehension,nothing,NNS
acrid,annoyed,disgustful,adoring,astonished,apprehensive,was no,NNP
acrimonious,apart,disgusting,advance,astonishing,apprehensively,was not,NNPS
affront,apartment,disgustingly,affect,astonishingly,apprehensiveness,will not,
aggrav,apathetic,distast,affection,astonishment,atroci,would not,
aggravate,attrit,distasteful,affectional,astound,atrocious,n't,
aggravated,attrition,distastefully,affectionate,astounded,aw,,
aggravation,back away,fed up,affectionateness,astounding,awful,,
aggress,back out,foul,affective,aw,awfully,,
aggression,bad,hideous,affirmative,awe,bash,,
aggressive,bare,horror,afford,awed,bashfully,,
aggressiveness,barren,loath,agitate,awestricken,bode,,
aghast,base,loathly,airheaded,awestruck,boding,,
alarm,beat,loathsom,alert,awful,browbeaten,,
amok,beat out,loathsome,amat,baffl,bulli,,
amuck,becalm,nausea,amative,baffle,bullied,,
anger,belt down,nauseat,amatori,beat,chill,,
angered,bereav,nauseate,amatory,besot,chilling,,
angri,bereave,nauseated,amic,bewild,cliff-hang,,
angrili,bereaved,nauseating,amicability,bewilder,cliff-hanging,,
angrily,bereaved person,nauseous,amicable,daze,coldhearted,,
angry,bereft,noisom,amicableness,dazed,coldheartedness,,
animos,black,noisome,amicably,dumbfound,constern,,
animosity,black bile,obscen,amor,dumbfounded,consternation,,
animus,bland,obscene,amorous,dumfound,cow,,
annoy,bleak,odious,amorousness,dumfounded,cowed,,
annoyance,blue,odiously,amuse,fantast,cower,,
annoyed,blue devil,offens,amused,fantastic,crawl,,
annoying,blue devils,offensive,animate,flabbergast,creep,,
antagon,bolt down,queasi,anticip,flabbergasted,creeps,,
antagonise,bore,queasy,anticipate,flummox,cring,,
antagonism,bored,repel,anticipation,get,cringe,,
antagonize,bother,repellant,appreci,gravel,cruel,,
apathetic,bow out,repellent,appreciated,howl,cruelli,,
appal,brace,repugn,approb,howling,cruelly,,
appall,brainish,repugnance,approbative,in awe of,cruelti,,
appalled,break down,repugnant,approbatori,marvel,cruelty,,
arrogant,broken,repuls,approbatory,marvellously,dash,,
ashen,brokenhearted,repulse,approv,marvelous,daunt,,
assault,brokenheartedness,repulsion,approval,marvelously,diffid,,
avarici,brooding,repulsive,approve,mystifi,diffidence,,
avaricious,broody,repulsively,approved,mystify,diffident,,
bad blood,call back,revolt,approving,nonplus,diffidently,,
bad temp,call in,revolting,ardor,perplex,dire,,
bad temper,calm,revoltingly,ardour,puzzl,direful,,
bad-tempered,capricious,revuls,arouse,puzzle,dismay,,
baffl,cark,revulsion,aroused,rattl,dread,,
baffle,cast down,sick,aspirant,rattling,dreaded,,
baffled,categoric,sick of,aspirer,stagger,dreadful,,
baleful,categorical,sicken,assailable,staggering,dreadfully,,
balk,chafe,sickening,attach,stun,fawn,,
balked,cheerless,sickeningly,attachment,stunned,fear,,
barbarous,cheerlessly,sickish,avid,stupefact,fearful,,
battler,cheerlessness,tired of,avidity,stupefaction,fearfully,,
bedevil,clinical depression,turn off,avidness,stupefi,fearfulness,,
begrudg,compressed,vile,bang,stupefied,fearsom,,
begrudge,compunct,wick,banter,stupefy,fearsome,,
begrudging,compunction,wicked,barrack,stupefying,forebod,,
belliger,confused,yucki,be on cloud nin,stupid,foreboding,,
belligerence,consume,yucky,be on cloud nine,stupifi,fright,,
belligerency,contemplative,,beam,stupify,frighten,,
belligerent,contrit,,beaming,superbl,frighten away,,
belligerently,contrite,,beamish,superbly,frighten off,,
bilk,contritely,,beamy,surpris,frightened,,
biting,contriteness,,beatify,surprise,frightening,,
bitingly,contrition,,becalm,surprised,frighteningly,,
bitter,crawfish,,becharm,surprisedly,frightful,,
bitterly,crawfish out,,beguil,surprising,grovel,,
bitterness,crush,,beguile,surprisingly,hangdog,,
black-and-blue,crushed,,beguiled,terrif,hardheart,,
blanched,cut down,,belong,terrific,hardhearted,,
blase,cutting,,belonging,terrifically,hardheartedness,,
blistering,dark,,benef,thunderstruck,heartless,,
bloodless,dead,,benefic,top,heartlessly,,
boil,deaf,,beneficed,toppingly,heartlessness,,
bore,debilitate,,beneficence,tremend,hesit,,
bored,deflect,,beneficent,tremendous,hesitance,,
bother,deject,,benefici,trounc,hesitancy,,
bothersom,dejected,,beneficially,trounce,hesitantly,,
bothersome,demolish,,benevol,wonder,hesitatingly,,
brainsick,demor,,benevolence,wonderful,hideous,,
breach,demoralis,,benevolent,wonderfully,hideously,,
break,demoralise,,benevolently,wonderment,horrend,,
bristle,demoralised,,bewitch,wondrous,horrendous,,
brood,demoralising,,bewitching,wondrously,horribl,,
browned off,demoralization,,blissful,,horrible,,
bruise,demoralize,,blith,,horribly,,
brutal,demoralized,,blithely,,horrid,,
burst,demoralizing,,blitheness,,horridly,,
buzz,depleted,,bonheur,,horrif,,
caustic,deplor,,boost,,horrifi,,
cense,deplorable,,bouncy,,horrific,,
certain,deplorably,,breathe in,,horrified,,
chafe,depopulate,,bright,,horrify,,
cheesed off,depress,,brisk,,horrifying,,
chesty,depressed,,brother,,horrifyingly,,
choler,depressing,,brotherhood,,horror,,
choleric,depression,,brotherlik,,horror-stricken,,
churn up,Depression,,brotherlike,,horror-struck,,
class feel,depressive,,brotherly,,hyster,,
class feeling,depressive disorder,,bucked up,,hysteria,,
cold,desert,,buoyanc,,hysterical,,
cold-blooded,desol,,buoyancy,,hysterically,,
coldness,desolate,,calf lov,,intimid,,
combatant,desolation,,calf love,,intimidate,,
come away,despair,,calm,,intimidated,,
come off,despairing,,calm air,,intimidation,,
common cold,despairingly,,calm down,,merciless,,
condemnable,desperate,,calmness,,mercilessness,,
conflagrate,despicable,,candid,,monstrous,,
contemn,despond,,capable,,monstrously,,
contemptuous,despondence,,captiv,,outrag,,
counteract,despondency,,captivate,,outrageous,,
cover,despondent,,captivated,,pall,,
covet,despondently,,captivating,,panic,,
covetous,detached,,captivation,,panic attack,,
covetously,deter,,captur,,panic-stricken,,
covetousness,devastate,,capture,,panic-struck,,
crabbed,devil,,care,,panick,,
crabby,devour,,carefre,,panicked,,
crank,dim,,carefree,,panicki,,
cranky,dingi,,carefreeness,,panicky,,
crazy,dingy,,caring,,pitiless,,
criminal,directly,,carry out,,pitilessness,,
crimson,disconnect,,carry through,,premonit,,
crisscross,disconnected,,catch,,premonition,,
critical,disconsol,,chaff,,presag,,
Cross,disconsolate,,charg,,presage,,
cross,disconsolateness,,charge,,presenti,,
crossbreed,discourag,,charge up,,presentiment,,
crossbreeding,discourage,,charit,,ruthless,,
crossing,discouraged,,charitable,,ruthlessness,,
crown of thorns,disengage,,charm,,scare,,
crucifi,dishearten,,charmed,,scare away,,
crucify,disheartened,,cheer,,scare off,,
cruel,disheartening,,cheer up,,scared,,
cut across,disjointed,,cheerful,,scarey,,
cut through,disjunct,,cheerfully,,scari,,
dander,dismal,,cheerfulness,,scarili,,
dead,dismay,,cheeri,,scarily,,
deaf,disorder,,cheering,,scary,,
decisive,disordered,,cheery,,self-distrust,,
defeated,dispirit,,chill out,,self-doubt,,
degage,dispirited,,chirk up,,shadow,,
delirious,dispiritedness,,clear,,shi,,
demented,dispiriting,,cliff-hang,,shiveri,,
deplorable,disquiet,,cliff-hanging,,shivery,,
desecrate,distract,,close,,shudderi,,
despis,distracted,,closeness,,shuddery,,
despisal,distrait,,comfort,,shy,,
despise,distress,,comfortable,,shyli,,
despising,distressed,,comfortableness,,shyly,,
despit,distressing,,comfortably,,shyness,,
despiteful,disunited,,comforting,,stage fright,,
detach,dole,,commend,,suspens,,
detached,doleful,,commendable,,suspense,,
detest,dolefully,,commove,,suspenseful,,
detestation,dolefulness,,compat,,suspensive,,
devil,dolor,,compatibility,,terribl,,
disappointed,dolorous,,compatible,,terrible,,
discomfited,dolour,,compatibly,,terrifi,,
discourag,dolourous,,complac,,terrified,,
discouraged,dour,,complacence,,terror,,
disdain,down,,complacency,,timid,,
disdainful,Down,,complacent,,timidity,,
disgust,down feather,,composure,,timidly,,
disgusted,down in the mouth,,concern,,timidness,,
dishonor,down pat,,congratul,,timor,,
dishonour,downcast,,congratulate,,timorous,,
dismay,downheart,,consol,,timorously,,
dismayed,downhearted,,console,,timorousness,,
displeas,downheartedness,,content,,trepid,,
displease,downtrodden,,contented,,trepidation,,
displeased,downward,,contentment,,trepidly,,
displeasing,downwardly,,cool it,,ugli,,
displeasingly,downwards,,cool off,,ugly,,
displeasur,drab,,crush,,unassert,,
displeasure,drain,,delight,,unassertive,,
diss,drained,,delighted,,unassertively,,
disturbed,draw,,delirious,,unassertiveness,,
drill,draw back,,devot,,uneasili,,
dudgeon,draw off,,devoted,,uneasily,,
dun,drear,,devotedness,,unkind,,
dusty,dreari,,devotion,,unsur,,
eat into,dreary,,disport,,unsure,,
endanger,drink down,,divert,,aflutter,,
enfuri,driving,,diverted,,aghast,,
enfuriate,dysphor,,divine,,alarum,,
enkindle,dysphoria,,dizzy,,alerting,,
enmiti,dysphoric,,eager,,alienated,,
enmity,economic crisis,,eagerly,,alive,,
enrag,enfeeble,,eagerness,,anomic,,
enraged,establish,,ebulli,,antsy,,
enragement,execr,,ebullient,,appalled,,
envi,execrable,,ebulliently,,at sea,,
enviabl,fine-tune,,ecstatic,,aversive,,
enviable,firm,,effulgent,,awake,,
enviably,first,,egocentric,,awkward,,
envious,first gear,,egoist,,baffled,,
enviously,flat,,egoistic,,ball over,,
enviousness,flat tire,,egoistical,,bear on,,
envy,flatbed,,elan,,bedevil,,
evil,flatcar,,elat,,befuddle,,
exacerb,flavorless,,elate,,befuddled,,
exacerbate,flavourless,,elated,,bemused,,
exasper,forlorn,,elating,,bewildered,,
exasperate,forlornly,,elation,,blow out of the water,,
exasperated,forlornness,,elysian,,blur,,
exasperating,forsake,,embolden,,brisk,,
exasperation,found,,emot,,broken,,
excited,fragmented,,emotional,,brooding,,
execr,garbled,,emotive,,broody,,
execrate,get at,,empath,,bumpy,,
execration,get down,,empathet,,care,,
fast-growing,get to,,empathetic,,cark,,
fed up,gloom,,empathetically,,cautious,,
fell,gloomful,,empathi,,changeable,,
ferocious,gloomi,,empathic,,come to,,
fierce,gloomili,,empathy,,concern,,
fighter,gloomily,,empty-headed,,concerned,,
fire up,gloominess,,enamor,,confound,,
fit,glooming,,enamored,,confounded,,
foil,gloomy,,enamoredness,,confuse,,
foiled,glowering,,enamour,,confused,,
forbidding,glum,,enchant,,conservative,,
fractious,go through,,enchanting,,contemplative,,
frantic,godforsaken,,enchantment,,cowardly,,
free,gravel,,encourage,,curious,,
fret,grief,,encouraged,,derange,,
frigid,grief-stricken,,endear,,discerning,,
frigidity,griev,,endearingly,,discombobulate,,
frigidness,grieve,,energise,,discombobulated,,
frustrat,grieving,,energize,,discomfit,,
frustrate,grievous,,enjoy,,discompose,,
frustrated,grievously,,enliven,,disconcert,,
frustrating,grim,,enrapture,,disconcerted,,
frustration,ground,,enraptured,,disconnected,,
furi,guilt,,entertained,,disjointed,,
furious,guilt feel,,enthral,,dismayed,,
furiously,guilt feelings,,enthrall,,disorder,,
fury,guilt trip,,enthralled,,disordered,,
fussy,guilti,,enthralling,,disorient,,
gall,guilty,,enthrallment,,disorientate,,
galling,guilty consci,,enthusiasm,,disoriented,,
get across,guilty conscience,,enthusiast,,disquiet,,
get at,hangdog,,enthusiastic,,disquieted,,
get over,hapless,,enthusiastically,,distract,,
get to,harass,,entranc,,distressed,,
go against,heartach,,entrance,,distrustful,,
grabbi,heartache,,entranced,,disturbed,,
grabby,heartbreak,,entrancing,,doubtful,,
grasp,heartbreaking,,equanimity,,dubious,,
grasping,heartbroken,,esteem,,dubitable,,
grate,heartrend,,eudaemonia,,dying,,
gravel,heartrending,,eudaimonia,,edgy,,
greedi,heartsick,,euphor,,enervate,,
greedy,heartsickness,,euphori,,faint,,
green-ey,heavyheart,,euphoria,,faint-hearted,,
green-eyed,heavyhearted,,euphoriant,,fainthearted,,
green-eyed monst,heavyheartedness,,euphoric,,faze,,
green-eyed monster,helpless,,exalt,,fidgety,,
grievanc,helplessness,,excit,,fishy,,
grievance,hopeless,,excite,,flighty,,
grizzl,hotheaded,,excited,,floor,,
grizzle,humble,,excitement,,flurry,,
gross out,humbled,,exciting,,flustered,,
grouchy,humiliated,,execute,,fox,,
grudg,humorless,,exhilar,,fretful,,
grudge,humourless,,exhilarate,,fuddle,,
grudging,hurt,,exhilarated,,funny,,
grumpy,illogical,,exhilarating,,galvanise,,
gush,immaterial,,exhilaration,,galvanize,,
hackl,impetuous,,exhort,,garbled,,
hackles,impression,,expans,,have-to doe with,,
harangue,imprint,,expansively,,hesitant,,
harass,impulsive,,expect,,hesitating,,
harassed,incapacitated,,expectancy,,high-strung,,
harassment,inconsolable,,exposed,,highly strung,,
harebrained,indifferent,,exuber,,hot and bothered,,
harri,indrawn,,exuberance,,ill at ease,,
harried,inert,,exuberant,,illogical,,
hate,insipid,,exuberantly,,implicated,,
hateful,insulate,,exult,,in question,,
hatefully,irritate,,exultant,,indecisive,,
hatr,irritated,,exultantly,,insecure,,
hatred,isolate,,exultation,,insomniac,,
heartburn,isolated,,exulting,,instinctive,,
heartburning,jam,,exultingly,,interest,,
heat,joyless,,fanci,,interested,,
high dudgeon,joylessly,,fancy,,intuitive,,
horrify,joylessness,,fascin,,itchy,,
hostil,keep apart,,fascinate,,jittery,,
